Parameter,Method,MSE,RMSE,MAE,Number of Points
PM2.5 (µg/m³),Lagrange,8.16954857910254e+137,9.03855551462873e+68,1.5507088473958159e+68,37
PM2.5 (µg/m³),Newton,2.8145802463501054e+223,5.305261771439846e+111,8.886783492785387e+110,37
PM2.5 (µg/m³),Linear,80.62317867867866,8.979041077903512,6.1019819819819805,37
PM2.5 (µg/m³),Cubic,100.1478460670902,10.007389573065005,6.672710632552817,37
PM10 (µg/m³),Lagrange,8.072549340789613e+148,2.8412232120672274e+74,4.670942191254191e+73,37
PM10 (µg/m³),Newton,1.2331695307211465e+224,1.1104816660896057e+112,2.2005587721833312e+111,37
PM10 (µg/m³),Linear,213.6833749249249,14.617912810142387,10.553603603603603,37
PM10 (µg/m³),Cubic,267.9188741738281,16.368227581929208,11.804065647107366,37
NO (µg/m³),Lagrange,5.155027369027915e+146,2.270468535132763e+73,3.9955113401626725e+72,37
NO (µg/m³),Newton,3.945583517405806e+231,6.281387997414112e+115,1.259336215330959e+115,37
NO (µg/m³),Linear,5.474477627627629,2.3397601645526898,1.4810810810810815,37
NO (µg/m³),Cubic,8.023089079028257,2.8325057950564294,1.9514415412597512,37
NO2 (µg/m³),Lagrange,4.108313509825839e+113,6.409612710473105e+56,1.0604514709074032e+56,37
NO2 (µg/m³),Newton,8.059362333756846e+216,2.8389016069171624e+108,4.907961309671478e+107,37
NO2 (µg/m³),Linear,20.23259421921922,4.498065608594345,3.269594594594595,37
NO2 (µg/m³),Cubic,21.04173524058,4.587127122783933,3.5022354924795662,37
NOx (ppb),Lagrange,4.695939791066047e+120,2.167011719180597e+60,3.5625618041332483e+59,37
NOx (ppb),Newton,5.036344444555476e+225,7.096720682509265e+112,1.1668886869000105e+112,37
NOx (ppb),Linear,21.5352981981982,4.640613989355094,2.3013513513513506,37
NOx (ppb),Cubic,24.890682353658036,4.9890562588186995,2.7060708615782167,37
NH3 (µg/m³),Lagrange,3.6600177569026465e+152,1.9131172878061204e+76,3.145145447121433e+75,37
NH3 (µg/m³),Newton,7.37363366323536e+218,2.7154435481584515e+109,4.727653288946876e+108,37
NH3 (µg/m³),Linear,3.747332357357357,1.9358027681965322,1.4730180180180181,37
NH3 (µg/m³),Cubic,17.623275732863423,4.19800854368633,2.320339083734689,37
SO2 (µg/m³),Lagrange,4.471752270569392e+129,6.687116172588444e+64,1.0993551268793948e+64,37
SO2 (µg/m³),Newton,2.81565886095822e+231,5.3062782257983985e+115,8.723467666817248e+114,37
SO2 (µg/m³),Linear,4.530435885885885,2.1284820614432918,1.1078378378378382,37
SO2 (µg/m³),Cubic,6.371220795461141,2.524127729624858,1.3422803886186003,37
CO (mg/m³),Lagrange,1.6516097831911422e+140,1.2851497123647277e+70,2.1127753082699596e+69,37
CO (mg/m³),Newton,1.0947126817551363e+223,3.308644256723796e+111,5.439437387035878e+110,37
CO (mg/m³),Linear,0.012332207207207208,0.11105047144072468,0.07707207207207208,37
CO (mg/m³),Cubic,0.012484613165288039,0.11173456566921464,0.08847150416220617,37
Ozone (µg/m³),Lagrange,2.47025705302665e+161,4.970168058553604e+80,8.171168153116549e+79,37
Ozone (µg/m³),Newton,5.6342954597449446e+222,2.3736670911787408e+111,3.902284751478366e+110,37
Ozone (µg/m³),Linear,63.82274722222221,7.9889140202046365,4.974009009009008,37
Ozone (µg/m³),Cubic,91.88820908479855,9.58583377097676,6.072882396035962,37
Benzene (µg/m³),Lagrange,2.7300218211985316e+152,1.6522777675677088e+76,2.7163302183096307e+75,37
Benzene (µg/m³),Newton,7.710884111117217e+224,2.776847873239947e+112,4.565109782616825e+111,37
Benzene (µg/m³),Linear,1.0367932432432432,1.0182304470223051,0.6474234234234235,37
Benzene (µg/m³),Cubic,1.9766792592416809,1.405944258938341,0.9103242715771008,37
Toluene (µg/m³),Lagrange,5.5936307601122565e+147,7.479057935403534e+73,1.2315104460551844e+73,37
Toluene (µg/m³),Newton,6.2063562893079215e+224,2.491255966236292e+112,4.374183002808889e+111,37
Toluene (µg/m³),Linear,9.604449774774777,3.0991046730910488,2.2847297297297304,37
Toluene (µg/m³),Cubic,12.928060867858765,3.59556127299463,2.5785156990529288,37
Eth-Benzene (µg/m³),Lagrange,1.1273730800422816e+120,1.0617782631238416e+60,1.7455600417584757e+59,37
Eth-Benzene (µg/m³),Newton,1.0040114966809785e+209,3.1686140451007576e+104,5.209169401760963e+103,37
Eth-Benzene (µg/m³),Linear,2.4262189564564562,1.557632484399467,0.5771621621621621,37
Eth-Benzene (µg/m³),Cubic,2.911235262858928,1.7062342344645791,0.8094563813766448,37
MP-Xylene (µg/m³),Lagrange,8.948078170239215e+137,9.459428191090206e+68,1.5551204160521912e+68,37
MP-Xylene (µg/m³),Newton,1.3090258330037426e+231,3.6180462034138573e+115,5.948498139654242e+114,37
MP-Xylene (µg/m³),Linear,2.7686835585585583,1.6639361642077974,0.9737387387387388,37
MP-Xylene (µg/m³),Cubic,4.570680800752381,2.137915059293138,1.2392533958380285,37
AT (°C),Lagrange,3.258660436940788e+163,5.708467777732294e+81,9.384676168826626e+80,37
AT (°C),Newton,5.665700785023047e+241,7.527084950379561e+120,1.2633478580051908e+120,37
AT (°C),Linear,0.7716621621621628,0.8784430329635284,0.5822522522522522,37
AT (°C),Cubic,32.710633900450574,5.719321104855941,1.73506544750292,37
RH (%),Lagrange,7.267587585914559e+120,2.6958463579949357e+60,4.64119356310209e+59,37
RH (%),Newton,2.125899004151475e+225,4.610747232446684e+112,7.662102880205313e+111,37
RH (%),Linear,17.275543618618634,4.156385884229066,3.215270270270271,37
RH (%),Cubic,25.331073346924164,5.032998444955468,3.9411102940837535,37
WS (m/s),Lagrange,1.597681148220991e+149,3.9971003843048414e+74,7.274201156763829e+73,37
WS (m/s),Newton,1.865209720500583e+234,1.3657268103469972e+117,2.2452410460953943e+116,37
WS (m/s),Linear,0.03794868618618618,0.19480422527806265,0.1495945945945946,37
WS (m/s),Cubic,0.05593965731849574,0.23651565977434927,0.187314039256795,37
WD (deg),Lagrange,1.225539886632099e+151,3.5007711816571204e+75,5.755232376249438e+74,37
WD (deg),Newton,1.7436934738378479e+223,4.1757555889178284e+111,6.864899900528973e+110,37
WD (deg),Linear,565.9286440690689,23.789254802726987,17.16617117117117,37
WD (deg),Cubic,1254.6303358644757,35.42076136765662,25.687271045539195,37
SR (W/mt2),Lagrange,4.465544394913332e+157,6.68247289176195e+78,1.0985934293681176e+78,37
SR (W/mt2),Newton,4.06214348574593e+237,6.373494713064356e+118,1.0523187298497783e+118,37
SR (W/mt2),Linear,2657.674635960961,51.55263946648087,25.758783783783777,37
SR (W/mt2),Cubic,3853.5200315279317,62.076726971772054,35.362098191448354,37
